price,rooms,halls,area,orientation,decoration,floor_level,total_floor,building_type,community,subdistrict
1580000.0,3.0,1.0,107.74,"南,北,",精装,高,8.0,板楼,融科花满庭,白沙洲 
1488000.0,3.0,1.0,74.34,"西,",精装,中,22.0,塔楼,宝安璞园三期,南湖沃尔玛 
1250000.0,3.0,2.0,90.71,"南,",精装,中,8.0,板楼,融科花满庭,白沙洲 
3100000.0,3.0,2.0,128.21,"南,",精装,中,32.0,板楼,领秀城,卓刀泉 
1890000.0,3.0,1.0,125.74,"南,北,",,低,25.0,板楼,爱家国际华城,团结大道 
1740000.0,3.0,2.0,102.49,"南,北,",毛坯,中,33.0,板楼,世茂云锦樱海园,白沙洲 
1890000.0,2.0,1.0,75.85,"南,",精装,高,40.0,,正堂山外山,徐东 
1620000.0,3.0,2.0,90.56,"南,",精装,中,34.0,板楼,保利心语十期,珞狮南路 
1280000.0,3.0,2.0,118.54,"南,北,",精装,高,7.0,板楼,汪家墩小区,徐东 
2330000.0,3.0,2.0,136.68,"南,北,",精装,中,11.0,塔楼,华大家园,珞狮南路 
1290000.0,2.0,2.0,106.27,"南,",简装,低,6.0,,北港教师小区,珞狮南路 
1750000.0,3.0,2.0,110.72,"南,",简装,中,12.0,板楼,新绿美地,杨园 
1550000.0,3.0,2.0,115.57,"南,",精装,高,29.0,板楼,烽火尚品虹城,白沙洲 
1950000.0,3.0,1.0,114.74,"南,北,",精装,低,40.0,,保利上城西区,白沙洲 
1280000.0,3.0,2.0,77.2,"南,北,",简装,中,18.0,板楼,华腾园,徐东 
2250000.0,3.0,2.0,108.13,"南,北,",精装,高,34.0,板楼,保利新武昌K4地块,白沙洲 
2190000.0,3.0,2.0,103.92,"南,",精装,低,27.0,板楼,V7星公馆,徐东 
1850000.0,3.0,2.0,112.68,"南,",精装,低,45.0,板楼,东原启城一期,白沙洲 
1830000.0,3.0,2.0,138.48,"南,北,",简装,中,10.0,板楼,半岛花园,珞狮南路 
1360000.0,3.0,2.0,88.65,"南,北,",精装,低,34.0,板楼,清能清江锦城一期,白沙洲 
2450000.0,4.0,2.0,138.14,"南,北,",精装,高,30.0,,芷岸龙庭,珞狮南路 
4880000.0,4.0,2.0,185.49,"南,北,",精装,高,32.0,板楼,城投瀚城,卓刀泉 
3380000.0,3.0,2.0,125.64,"南,",精装,高,47.0,板楼,万科金域学府,卓刀泉 
1800000.0,3.0,2.0,138.57,"南,北,",毛坯,中,25.0,板楼,华大家园,珞狮南路 
2120000.0,4.0,1.0,126.14,"南,",精装,低,34.0,板楼,清能清江锦城三期,白沙洲 
4420000.0,4.0,2.0,165.75,"南,北,",精装,低,6.0,板楼,金地格林小城美茵区,新南湖 
1500000.0,3.0,2.0,86.77,"南,",精装,高,33.0,,保利才盛景苑,杨园 
1750000.0,3.0,2.0,117.0,"东南,",简装,中,47.0,塔楼,东原启城一期,白沙洲 
1730000.0,3.0,2.0,104.57,"西南,",精装,高,32.0,板楼,花样年锦绣城A区,白沙洲 
1710000.0,3.0,2.0,104.22,"南,",毛坯,低,32.0,板楼,世茂云锦樱海园,白沙洲 
1690000.0,3.0,2.0,101.3,"南,北,",精装,,,板楼,泰然南湖玫瑰湾三期,珞狮南路 
1180000.0,2.0,1.0,77.4,"南,",精装,低,7.0,板楼,徐东石化小区,徐东 
2550000.0,3.0,2.0,108.79,"南,北,",简装,高,10.0,板楼,大华南湖公园世家二期,新南湖 
1850000.0,3.0,2.0,104.61,"南,",精装,中,40.0,,保利上城西区,白沙洲 
2690000.0,4.0,2.0,142.22,"南,北,",精装,中,34.0,板楼,东原启城二期,白沙洲 
2200000.0,4.0,2.0,126.14,"南,",,高,34.0,板楼,清能清江锦城三期,白沙洲 
2150000.0,3.0,2.0,106.52,"南,",,中,40.0,,福星惠誉东湖城三期,团结大道 
3650000.0,4.0,2.0,163.73,"南,",毛坯,中,32.0,板楼,南湖半岛,卓刀泉 
1150000.0,3.0,2.0,86.33,"南,北,",精装,低,35.0,板楼,东原湖光里,黄家湖 
2800000.0,3.0,1.0,126.96,"南,北,",精装,低,18.0,板楼,长航蓝晶绿洲一二期,徐东 
1900000.0,4.0,2.0,114.57,"南,",精装,低,34.0,板楼,清能清江锦城三期,白沙洲 
1880000.0,3.0,2.0,94.49,"南,",精装,低,47.0,,福星惠誉东湖城二期,东湖东亭 
1630000.0,3.0,1.0,88.03,"西北,南,",精装,高,34.0,板楼,佳兆业金域天下二期,白沙洲 
1750000.0,3.0,2.0,117.0,"东南,",简装,中,47.0,塔楼,东原启城一期,白沙洲 
1560000.0,3.0,2.0,94.56,"南,",精装,高,43.0,板楼,杨春湖畔,青山 
1500000.0,3.0,2.0,86.77,"南,",精装,高,33.0,,保利才盛景苑,杨园 
1630000.0,3.0,1.0,86.42,"西南,",简装,中,24.0,板楼,保利心语六期,珞狮南路 
1950000.0,3.0,2.0,144.16,"南,",简装,高,7.0,板楼,华电沙湖小区,徐东 
1470000.0,3.0,2.0,106.16,"东南,北,",,低,16.0,板楼,香水湾,白沙洲 
3650000.0,4.0,2.0,163.73,"南,",毛坯,中,32.0,板楼,南湖半岛,卓刀泉 
1150000.0,3.0,2.0,86.33,"南,北,",精装,低,35.0,板楼,东原湖光里,黄家湖 
2550000.0,3.0,2.0,106.81,"南,",精装,低,26.0,板楼,大华南湖公园世家三期,新南湖 
2800000.0,3.0,1.0,126.96,"南,北,",精装,低,18.0,板楼,长航蓝晶绿洲一二期,徐东 
1710000.0,3.0,2.0,104.22,"南,",毛坯,低,32.0,板楼,世茂云锦樱海园,白沙洲 
2150000.0,3.0,2.0,106.52,"南,",,中,40.0,,福星惠誉东湖城三期,团结大道 
1880000.0,3.0,2.0,120.27,"南,",毛坯,低,32.0,板楼,世茂云锦樱海园,白沙洲 
1730000.0,3.0,2.0,104.57,"西南,",精装,高,32.0,板楼,花样年锦绣城A区,白沙洲 
1730000.0,3.0,2.0,89.16,"南,北,",精装,中,34.0,塔楼,佳兆业金域天下三期,白沙洲 
2470000.0,4.0,2.0,128.77,"南,北,",精装,高,47.0,,福星惠誉东湖城二期,东湖东亭 
1850000.0,3.0,1.0,119.36,"南,",毛坯,中,34.0,板楼,喜瑞都,白沙洲 
1690000.0,3.0,2.0,85.16,"南,",简装,中,29.0,,金地自在城,团结大道 
2600000.0,3.0,2.0,123.55,"南,北,",精装,高,11.0,板楼,金地格林小城梦茵区,南湖沃尔玛 
2690000.0,4.0,2.0,142.22,"南,北,",精装,中,34.0,板楼,东原启城二期,白沙洲 
1690000.0,3.0,2.0,101.3,"南,北,",精装,,,板楼,泰然南湖玫瑰湾三期,珞狮南路 
1180000.0,2.0,1.0,77.4,"南,",精装,低,7.0,板楼,徐东石化小区,徐东 
2550000.0,3.0,2.0,108.79,"南,北,",简装,高,10.0,板楼,大华南湖公园世家二期,新南湖 
1850000.0,3.0,2.0,104.61,"南,",精装,中,40.0,,保利上城西区,白沙洲 
2300000.0,3.0,2.0,114.62,"南,",毛坯,高,32.0,,福星惠誉东湖城三期,团结大道 
2100000.0,3.0,2.0,97.17,"南,",精装,中,34.0,板楼,保利中央公馆,新南湖 
